Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
-0.5862793308,1.2989216602,1.9597251385,1.0338390228,0.3095860305,-1.2044203602,3.3072698879,4.5259997521,0.6978166432,-9.2754983448,1.5777370283,-1.1705987644,0.0370761254,3.1053248953,-6.8431636426,-4.5851998922,3.7205469963,-1.6875663009,-0.5863818856
-0.3785465538,0.3635717936,-0.9540139798,-1.6763954603,-2.2123551292,-0.4277192941,1.964881977,3.9571253203,-1.5768698946,-9.0960441261,-0.1458416533,-3.0232605229,-2.2088567065,1.4316180285,-6.8833118662,-6.7133322329,2.0868350189,-4.4965648213,-3.3927524069
2.0104445792,0.862511692,-2.1234416951,-2.0123540063,-1.5151086713,0.6512436833,2.6532439939,3.8977656513,-1.5180367508,-0.5668359792,-0.7246874321,-3.5828599816,-2.6927262961,1.1621347274,-2.4078309607,-4.8548289292,2.7726965996,-5.0354781552,-3.4117650961
3.4075300781,1.2902071873,-2.7846490972,-2.3947485977,-0.2048988413,-0.3956010102,3.5673479525,0.0311289974,-1.0493329523,7.6885743194,-2.4716250352,-3.995732709,-2.8878221842,0.3139709541,1.781466806,-3.9720569978,3.5763297128,-5.3149965944,-3.7194202422
1.4889757149,0.6088870713,-3.3979832762,-4.0514314886,-0.673051661,-2.7249388419,2.7573348314,-6.1717092447,-1.7286052559,8.4528711907,-5.9900591496,-5.0253534064,-3.9674740024,-1.6837280434,2.5997998922,-4.7374739859,2.6488270424,-6.1112804288,-5.0159493834
-1.4520533051,0.3135264275,-2.5393931185,-4.1075261041,-0.7565257702,-2.892577944,1.4870617527,-9.333379763,-1.4695593117,5.066232004,-7.9928748598,-5.0533213486,-3.8502735042,-2.3090350014,3.6767553812,-3.0326235561,2.2359490838,-5.2797679252,-4.4433583077
-3.5260488604,0.090055092,-1.199309538,-2.3778315707,-0.5903005594,-0.9684303801,1.5766576387,-9.2859225589,-0.6505387716,-0.5097456028,-6.6077616784,-4.2972542922,-2.9580701692,-2.5055433035,3.5602964542,-1.3760944922,2.0526960081,-3.5249268107,-3.4900113905
-4.4956147047,-0.5986648272,-0.2319851077,-0.8273798864,-1.6305602865,1.5946315618,2.9788971791,-8.0450008108,-0.5048242533,-8.8180911818,-3.366735321,-3.3206514776,-2.8657670372,-3.3181579243,-0.5369786624,-3.3156235508,1.1006396436,-2.1929070272,-3.4789503187
-1.8615520372,0.144916558,1.1926626451,0.9219990902,-2.0285953517,4.38922314,5.1078818015,-5.1806433553,0.5080053506,-13.1307077093,0.210977077,-1.4003887707,-1.831453715,-2.6427598345,-4.4862436492,-4.7624471934,1.1666583957,-0.7381112888,-1.7491807628
2.947980247,1.6584212178,1.5699078732,1.4706042194,-1.9772594767,5.8732904636,6.1712306214,-2.1472250354,1.176221511,-9.0915593652,2.4027601164,-0.2460956951,-0.7308161298,-1.2672070239,-5.5547138956,-1.8306943277,1.5202381278,-0.8997812954,0.6525832696
4.9395442778,1.061047714,-1.0388515043,-1.0208131756,-3.4206295984,4.0016076158,3.956491465,-1.7740560406,-0.775104082,-2.2957682505,1.0168351631,-1.7386381284,-2.2210992099,-1.7417458765,-5.9799169924,2.548479462,0.402021248,-3.9707838689,0.6382399109
5.7777376388,-0.2057102836,-3.6610891181,-2.88006788,-3.9108384071,1.1409727372,1.5222458345,-2.3855856164,-2.3515458804,4.4747561468,-1.2618697162,-3.3629488044,-3.2201415346,-2.0020829585,-5.6747554116,4.2098303516,0.3884363668,-5.7967018059,0.6241121132
